id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
1234520969861042177,DE,de,"Response(data=<User id=1670174994 name=Thomas Müller username=esmuellert_>, includes={}, errors=[], meta={})",Ready for the @DFB_Pokal match #S04FCB ⚽️ #PackMas #FCBayern #WayToBerlin #esmuellert https://t.co/ucOiKtBBKh,ready for the match #sfcb #packmas #fcbayern #waytoberlin #esmuellert,2020-03-02 16:48:30+00:00,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029296424', 'name': 'Live: DFB-Pokal Football'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10039036407', 'name': 'Bundesliga Soccer', 'description': 'Soccer action from the German Bundesliga.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10039215494', 'name': 'Bundesliga Soccer'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '733774338466287617', 'name': 'Thomas Muller'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '731226192859172864', 'name': 'FC Bayern Munich'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '733774338466287617', 'name': 'Thomas Muller'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '731226192859172864', 'name': 'FC Bayern Munich'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '733756536430809088', 'name': 'Soccer'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '733774338466287617', 'name': 'Thomas Muller'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '733774338466287617', 'name': 'Thomas Muller'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '733756536430809088', 'name': 'Soccer'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '733774338466287617', 'name': 'Thomas Muller'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}]"
1234622395392176128,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})","Erdogan fordert von Merkel ""Lastenteilung"" in Flüchtlingskrise https://t.co/lLJnOvFgVC #Türkei #Erdogan",erdogan demands load division in the refugee crisis #türki #erdogan,2020-03-02 23:31:31+00:00,[]
1234578225571016704,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",Coronavirus in Deutschland: Handwerksmesse abgesagt https://t.co/OIBLrbTHFz #Coronavirus #InternationaleHandwerksmesse,coronavirus in germany craft fair canceled #coronavirus #international dealer fair,2020-03-02 20:36:00+00:00,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
1234571901395230720,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",Parlamentswahl in Israel: Netanyahus Likud-Partei laut Prognosen vorn https://t.co/05IcdgmjBF #Eilmeldung,parliamentary election in israel netanyahus likud party according to the forecasts in front #eilmeld,2020-03-02 20:10:53+00:00,[]
1234566919367335942,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",Frauen in Afghanistan: Angst vor der Taliban-Rückkehr https://t.co/v7DnhGK9vv #Taliban #USA,women in afghanistan fear of the taliban return #taliban #usa,2020-03-02 19:51:05+00:00,[]
1234561650163879938,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",US-Vorwahlen der Demokraten: Senatorin Klobuchar steigt aus https://t.co/5ymss53JH0 #USWahl #Demokraten #Klobuchar,democrats fore senator klobuchar increases from #us election #democrat #klobuchar,2020-03-02 19:30:09+00:00,[]
1234556158624620544,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",Libyen-Friedensprozess: UN-Vermittler reicht Rücktritt ein https://t.co/Mq28eHAJjg #Libyen #Salamé,libya peace process un mediators runs a resignation,2020-03-02 19:08:19+00:00,[]
1234532398685204480,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",Integrationsgipfel: Regierung plant Ausschuss gegen Rassismus https://t.co/7ZuxCBYwUG #Integrationsgipfel,integration summit government is planning a committee against racism #integration summit,2020-03-02 17:33:55+00:00,[]
1234528526830854155,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})",Früherer DDR-Schlagerstar Peter Wieland gestorben https://t.co/bCmBgHU0wN #Wieland,former gdr hit star peter wieland died #wieland,2020-03-02 17:18:31+00:00,[]
1234524515205603328,DE,de,"Response(data=<User id=5734902 name=tagesschau username=tagesschau>, includes={}, errors=[], meta={})","Türkische Grenze: ""Die EU hätte eine Lösung finden müssen"" https://t.co/HaCnsraIur #Griechenland #Türkei #Grenze",turkish border the eu should have found a solution #grreiland #türki #border,2020-03-02 17:02:35+00:00,[]
