,id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
0,1240013952861511680,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Поносни смо на наше пријатељство.
Никада нећемо заборавити помоћ наших кинеских пријатеља. 🇷🇸🇨🇳 https://t.co/7HKxB586Rs",we are proud of our friendship we will never forget the help of our chinese friends,2020-03-17 20:35:39+00:00,[]
1,1239873649999523845,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})",Бескрајно хвала на свему нашој кинеској браћи и нашем брату председникy Си Ђинпингу. https://t.co/1m0l6KaEc7,infinitely thank you for all our chinese brothers and our brother president you are djinping,2020-03-17 11:18:08+00:00,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
2,1239310408760074240,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Предаја није, никада није била и никада неће бити опција за Србију. Борићемо се и победићемо. #koronavirus #Srbija https://t.co/wLY1tn15Lm",the surrender is not it was never and will never be an option for serbia we will fight and we will win #koronavirus #srbija,2020-03-15 22:00:01+00:00,[]
3,1238813645385187328,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Pадимо, боримо се и урадићемо све што треба. Спремамо се и за теже време, које предстоји.
Молим наше најстарије грађане
да не излазе, да останy у кући. #koronavirus  https://t.co/0bWLID0i6O",we fall we fight and we will do whatever you need we are also prepared for the harder time which is coming please our oldest citizens not to go out stay in the house #koronavirus,2020-03-14 13:06:03+00:00,[]
4,1237796648161599491,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Одлуке доноси струка, не политика.
Хвала нашим лекарима и медицинском особљу због преданог рада. https://t.co/DlvXjBobVK",decisions make a profession not politics thanks to our doctors and medical staff because of the submitted work,2020-03-11 17:44:52+00:00,[]
5,1237006381821165573,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Hећемо одустати од подизања одбрамбене индустрије Србије, ни по коју цену, иако би то у свету многи желели. https://t.co/PyK90Mde42",we will give up the raise of the serbian defense industry at any price although many would want it in the world,2020-03-09 13:24:38+00:00,[]
6,1236358798622822400,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})",Наша је обавеза да се жене осећају сигурно и да им гарантујемо нормалну државу и пристојну будућност.  https://t.co/fZ9IrQyG38,it is our obligation to feel safe and guarantee them a normal state and decent future,2020-03-07 18:31:22+00:00,[]
7,1235939172864659457,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Фабрика немачке компаније ""Броcе"" једна је од најбољих ствари која се Србији догодила у последњих 50 година. ""Бросе"" је једна од фабрика која ће да мења све, не само у Панчеву, Банату, већ ће позитивно да утиче и на целу Србију. https://t.co/rIgcx9zj2S",the factory of the german company broca is one of the best things that has happened in the last years brose is one of the factories that will change everything not only in pancevo banat but will positively influence serbia,2020-03-06 14:43:56+00:00,[]
8,1235179213390524416,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})",У складу са Уставом расписао сам изборе за народне посланике за 26. април 2020. године. Свим учесницима желим пуно успеха. #Srbija #izbori2020 https://t.co/XTz8kmzxvz,in accordance with the constitution i have announced the elections for people's mps for april i wish all the participants a lot of success #srbija # election,2020-03-04 12:24:07+00:00,[]
9,1234405844550389760,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","It was an honor to speak at the #AIPAC2020. Serbia, Israel, and the USA can achieve much by working together. @AIPAC #AIPACProud https://t.co/XSCDMHu14H",it was an honor to speak at the #aipac serbia israel and the usa can achieve much by working together #aipacproud,2020-03-02 09:11:02+00:00,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit - Government/Education'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042671120', 'name': 'AIPAC'}}]"
